entry_time,exit_time,symbol,direction,entry_price,exit_price,shares,pnl,exit_reason
2026-01-02 12:15 EST,2026-01-02 14:15 EST,QQQ,long,613.2400,613.0100,1,-0.23,TP
2026-01-05 11:45 EST,2026-01-05 11:50 EST,QQQ,short,620.1600,620.6700,1,-0.51,SL
2026-01-05 12:20 EST,2026-01-05 12:30 EST,SPY,short,688.6700,688.3599,1,0.31,TP
2026-01-05 13:45 EST,2026-01-05 14:25 EST,QQQ,long,618.7100,618.0800,1,-0.63,SL
2026-01-06 12:25 EST,2026-01-06 12:45 EST,AAPL,long,262.9350,263.4700,3,1.61,TP
2026-01-06 13:05 EST,2026-01-06 13:20 EST,QQQ,short,622.0500,622.5800,1,-0.53,SL
2026-01-07 12:20 EST,2026-01-07 12:25 EST,AAPL,short,262.1300,262.3400,3,-0.63,SL
2026-01-08 12:05 EST,2026-01-08 12:20 EST,SPY,short,689.5850,689.9500,1,-0.37,SL
2026-01-08 12:25 EST,2026-01-08 12:30 EST,AAPL,short,257.0101,256.7100,3,0.90,TP
2026-01-08 13:00 EST,2026-01-08 13:10 EST,QQQ,short,620.4200,619.7600,1,0.66,TP
2026-01-08 13:55 EST,2026-01-08 14:15 EST,AAPL,short,257.1600,256.6900,3,1.41,TP
2026-01-09 12:20 EST,2026-01-09 12:25 EST,AAPL,short,258.3000,258.8400,3,-1.62,SL
2026-01-09 13:05 EST,2026-01-09 13:40 EST,SPY,short,693.7100,694.7100,1,-1.00,SL
2026-01-12 11:40 EST,2026-01-12 11:55 EST,AAPL,short,259.9400,260.9300,3,-2.97,SL
2026-01-12 12:20 EST,2026-01-12 13:05 EST,SPY,short,694.3500,694.9300,1,-0.58,SL
2026-01-12 13:45 EST,2026-01-12 14:30 EST,AAPL,short,260.6700,260.8100,3,-0.42,EOD
2026-01-13 12:20 EST,2026-01-13 12:25 EST,AAPL,short,260.4800,260.9100,3,-1.29,SL
2026-01-13 13:20 EST,2026-01-13 13:25 EST,AAPL,short,260.7900,260.2300,3,1.68,TP
2026-01-13 13:35 EST,2026-01-13 14:05 EST,SPY,long,693.3000,692.4700,1,-0.83,SL
2026-01-14 12:30 EST,2026-01-14 14:30 EST,QQQ,long,616.2700,616.7600,1,0.49,TP
2026-01-15 11:50 EST,2026-01-15 12:00 EST,AAPL,short,260.3500,259.9700,3,1.14,TP
2026-01-15 12:15 EST,2026-01-15 12:30 EST,QQQ,short,626.2600,625.6033,1,0.66,TP
2026-01-15 12:35 EST,2026-01-15 13:00 EST,SPY,short,694.3900,693.9800,1,0.41,TP
2026-01-15 13:20 EST,2026-01-15 14:05 EST,AAPL,long,259.3350,258.7500,3,-1.75,SL
2026-01-16 11:45 EST,2026-01-16 12:10 EST,AAPL,long,256.5500,256.1400,3,-1.23,SL
2026-01-16 12:15 EST,2026-01-16 12:50 EST,QQQ,short,621.6500,620.9700,1,0.68,TP
2026-01-16 12:55 EST,2026-01-16 13:35 EST,SPY,short,692.3100,693.1900,1,-0.88,SL
2026-01-16 13:55 EST,2026-01-16 14:05 EST,AAPL,short,256.6600,257.0100,3,-1.05,SL
2026-01-21 12:50 EST,2026-01-21 14:30 EST,AAPL,long,246.2100,247.1300,4,3.68,TP
2026-01-22 11:40 EST,2026-01-22 11:45 EST,AAPL,long,249.6300,249.7000,4,0.28,TP
2026-01-22 13:45 EST,2026-01-22 14:30 EST,QQQ,short,621.5300,621.6350,1,-0.11,EOD
2026-01-26 12:10 EST,2026-01-26 12:15 EST,AAPL,short,254.8000,254.2900,3,1.53,TP
2026-01-26 12:45 EST,2026-01-26 13:10 EST,QQQ,short,627.0000,626.3036,1,0.70,TP
2026-01-26 13:15 EST,2026-01-26 13:25 EST,SPY,short,693.0500,693.6800,1,-0.63,SL
2026-01-27 11:45 EST,2026-01-27 12:15 EST,QQQ,short,631.4320,630.9800,1,0.45,TP
2026-01-27 12:25 EST,2026-01-27 12:30 EST,AAPL,short,261.0274,261.3001,3,-0.82,SL
2026-01-27 14:05 EST,2026-01-27 14:30 EST,QQQ,short,631.2100,631.3900,1,-0.18,EOD
2026-01-28 12:20 EST,2026-01-28 12:25 EST,AAPL,long,255.3584,254.7600,3,-1.80,SL
2026-01-28 13:45 EST,2026-01-28 14:30 EST,SPY,long,695.0100,694.1800,1,-0.83,SL
2026-01-29 12:50 EST,2026-01-29 14:20 EST,SPY,short,690.1400,691.8700,1,-1.73,SL
2026-01-30 12:25 EST,2026-01-30 13:30 EST,AAPL,long,255.0400,256.0700,3,3.09,TP
2026-02-02 11:40 EST,2026-02-02 11:50 EST,QQQ,short,626.8700,626.2800,1,0.59,TP
2026-02-02 13:40 EST,2026-02-02 14:00 EST,QQQ,short,627.6200,628.3200,1,-0.70,SL
2026-02-03 12:30 EST,2026-02-03 12:40 EST,AAPL,long,268.8900,269.4347,3,1.63,TP
2026-02-03 14:10 EST,2026-02-03 14:15 EST,AAPL,short,270.0700,270.8200,3,-2.25,SL
2026-02-05 12:25 EST,2026-02-05 14:00 EST,AAPL,long,274.4000,274.9900,3,1.77,TP
2026-02-06 14:15 EST,2026-02-06 14:30 EST,QQQ,short,607.8400,608.3200,1,-0.48,EOD
2026-02-09 11:55 EST,2026-02-09 12:00 EST,AAPL,long,273.3500,272.8100,3,-1.62,SL
2026-02-10 12:15 EST,2026-02-10 12:20 EST,QQQ,long,615.0300,615.4600,1,0.43,TP
2026-02-10 14:30 EST,2026-02-10 14:30 EST,SPY,long,693.8700,693.7250,1,-0.14,EOD
2026-02-11 11:50 EST,2026-02-11 12:05 EST,SPY,short,692.6600,691.4900,1,1.17,TP
2026-02-11 13:00 EST,2026-02-11 13:15 EST,SPY,short,692.7700,691.6400,1,1.13,TP
2026-02-11 13:35 EST,2026-02-11 13:55 EST,QQQ,short,612.6101,613.6300,1,-1.02,SL
2026-02-12 13:25 EST,2026-02-12 14:30 EST,SPY,long,683.5700,684.8300,1,1.26,EOD
2026-02-13 13:05 EST,2026-02-13 14:30 EST,SPY,short,684.4600,684.6700,1,-0.21,EOD
2026-02-17 11:45 EST,2026-02-17 11:55 EST,AAPL,short,260.4100,261.0466,3,-1.91,SL
2026-02-17 12:10 EST,2026-02-17 12:55 EST,QQQ,short,600.0800,597.5000,1,2.58,TP
2026-02-18 11:45 EST,2026-02-18 11:55 EST,SPY,short,688.3100,687.7350,1,0.57,TP
2026-02-18 12:00 EST,2026-02-18 12:35 EST,AAPL,short,265.2000,265.1500,3,0.15,TP
2026-02-18 13:00 EST,2026-02-18 13:30 EST,QQQ,short,609.0400,608.2300,1,0.81,TP
2026-02-19 11:40 EST,2026-02-19 11:45 EST,AAPL,short,263.8500,263.3400,3,1.53,TP
2026-02-19 11:55 EST,2026-02-19 12:05 EST,AAPL,long,263.4700,262.8550,3,-1.85,SL
2026-02-19 12:20 EST,2026-02-19 12:25 EST,QQQ,long,603.7000,604.0700,1,0.37,TP
2026-02-19 13:15 EST,2026-02-19 13:20 EST,QQQ,long,602.7300,601.3000,1,-1.43,SL
2026-02-19 13:50 EST,2026-02-19 14:10 EST,SPY,long,683.3300,683.9900,1,0.66,TP
2026-02-20 12:05 EST,2026-02-20 12:10 EST,SPY,short,687.8900,687.1100,1,0.78,TP
2026-02-20 12:35 EST,2026-02-20 12:55 EST,QQQ,long,605.9100,607.6400,1,1.73,TP
2026-02-20 14:15 EST,2026-02-20 14:30 EST,QQQ,short,608.4900,608.4600,1,0.03,EOD
2026-02-24 12:45 EST,2026-02-24 14:30 EST,QQQ,short,608.0900,607.2000,1,0.89,EOD
2026-02-25 12:00 EST,2026-02-25 12:15 EST,QQQ,short,614.8700,615.4100,1,-0.54,SL
2026-02-25 13:15 EST,2026-02-25 13:25 EST,AAPL,short,274.0400,274.4200,3,-1.14,SL
2026-02-26 12:55 EST,2026-02-26 13:40 EST,QQQ,long,606.1100,607.2500,1,1.14,TP
2026-02-27 11:40 EST,2026-02-27 11:45 EST,SPY,short,685.4900,684.7400,1,0.75,TP
2026-02-27 11:55 EST,2026-02-27 12:00 EST,QQQ,long,607.1400,606.7100,1,-0.43,TP
2026-02-27 12:30 EST,2026-02-27 12:35 EST,QQQ,long,606.3200,607.0300,1,0.71,TP
2026-02-27 13:00 EST,2026-02-27 13:20 EST,SPY,long,684.3700,683.5900,1,-0.78,SL
2026-03-02 13:10 EST,2026-03-02 14:00 EST,AAPL,short,265.6550,264.6200,3,3.10,TP
2026-03-02 14:05 EST,2026-03-02 14:20 EST,SPY,short,685.6600,687.6750,1,-2.01,SL
2026-03-03 13:35 EST,2026-03-03 13:50 EST,AAPL,long,261.7400,262.8500,3,3.33,TP
2026-03-04 12:00 EST,2026-03-04 14:00 EST,SPY,short,685.7950,686.5500,1,-0.75,TP
2026-03-04 14:05 EST,2026-03-04 14:10 EST,AAPL,short,263.3700,263.2800,3,0.27,TP
2026-03-05 13:10 EST,2026-03-05 13:50 EST,AAPL,long,259.1091,258.3750,3,-2.20,SL
2026-03-05 14:15 EST,2026-03-05 14:30 EST,QQQ,long,604.2100,603.1300,1,-1.08,EOD
2026-03-06 11:45 EST,2026-03-06 12:05 EST,QQQ,short,604.2800,605.4200,1,-1.14,SL
2026-03-06 12:50 EST,2026-03-06 13:10 EST,SPY,long,673.3200,674.2100,1,0.89,TP
2026-03-06 13:50 EST,2026-03-06 13:55 EST,AAPL,long,256.3301,256.0500,3,-0.84,SL
2026-03-06 14:20 EST,2026-03-06 14:30 EST,SPY,short,675.0300,675.0500,1,-0.02,EOD
2026-03-09 12:25 EDT,2026-03-09 13:20 EDT,AAPL,short,257.6500,256.8750,3,2.32,TP
2026-03-09 14:10 EDT,2026-03-09 14:20 EDT,AAPL,long,256.5550,257.0950,3,1.62,TP
2026-03-10 14:10 EDT,2026-03-10 14:15 EDT,AAPL,short,261.8900,261.0400,3,2.55,TP
2026-03-11 12:30 EDT,2026-03-11 13:00 EDT,QQQ,long,606.9300,608.2600,1,1.33,TP
2026-03-11 13:35 EDT,2026-03-11 13:40 EDT,AAPL,short,260.8650,260.0300,3,2.51,TP
2026-03-11 14:20 EDT,2026-03-11 14:30 EDT,SPY,long,674.8300,675.5300,1,0.70,EOD
2026-03-12 12:45 EDT,2026-03-12 12:55 EDT,QQQ,short,600.6000,599.5400,1,1.06,TP
2026-03-12 13:10 EDT,2026-03-12 13:20 EDT,QQQ,short,600.2000,599.3700,1,0.83,TP
2026-03-12 14:05 EDT,2026-03-12 14:30 EDT,SPY,long,668.5400,667.8450,1,-0.69,EOD
2026-03-13 12:30 EDT,2026-03-13 13:50 EDT,SPY,long,664.3100,662.4600,1,-1.85,SL
2026-03-13 14:30 EDT,2026-03-13 14:30 EDT,SPY,long,663.3300,663.9700,1,0.64,EOD
2026-03-16 11:40 EDT,2026-03-16 12:00 EDT,QQQ,short,601.5900,600.4600,1,1.13,TP
2026-03-16 12:15 EDT,2026-03-16 12:25 EDT,AAPL,long,253.0450,252.6600,3,-1.15,SL
2026-03-17 13:05 EDT,2026-03-17 13:10 EDT,AAPL,long,254.1800,253.9700,3,-0.63,SL
2026-03-18 12:50 EDT,2026-03-18 13:05 EDT,QQQ,long,599.6900,599.2000,1,-0.49,SL
2026-03-18 13:40 EDT,2026-03-18 14:05 EDT,SPY,long,666.3750,667.0600,1,0.68,TP
2026-03-19 12:00 EDT,2026-03-19 12:05 EDT,QQQ,long,590.6700,591.0900,1,0.42,TP
2026-03-19 13:45 EDT,2026-03-19 13:55 EDT,QQQ,long,589.5900,590.6600,1,1.07,TP
2026-03-19 14:00 EDT,2026-03-19 14:15 EDT,SPY,long,657.2300,658.3600,1,1.13,TP
2026-03-20 11:50 EDT,2026-03-20 11:55 EDT,AAPL,short,248.2800,248.8300,4,-2.20,SL
2026-03-20 12:30 EDT,2026-03-20 12:35 EDT,QQQ,short,586.7500,586.0700,1,0.68,TP
2026-03-20 12:40 EDT,2026-03-20 12:50 EDT,SPY,short,652.4700,652.4100,1,0.06,TP
2026-03-20 13:00 EDT,2026-03-20 13:20 EDT,QQQ,long,585.9400,585.2300,1,-0.71,SL
2026-03-23 11:40 EDT,2026-03-23 11:55 EDT,AAPL,short,252.4300,251.9000,3,1.59,TP
2026-03-23 13:55 EDT,2026-03-23 14:30 EDT,AAPL,long,251.5200,251.8050,3,0.85,EOD
2026-03-24 12:00 EDT,2026-03-24 12:40 EDT,SPY,short,655.0500,654.2000,1,0.85,TP
2026-03-24 13:25 EDT,2026-03-24 14:00 EDT,SPY,long,653.1000,654.3000,1,1.20,TP
2026-03-25 12:00 EDT,2026-03-25 12:25 EDT,QQQ,long,587.8400,588.8300,1,0.99,TP
2026-03-26 11:45 EDT,2026-03-26 13:15 EDT,AAPL,short,256.2500,255.2600,3,2.97,TP
2026-03-27 11:55 EDT,2026-03-27 12:30 EDT,AAPL,long,252.5900,251.7700,3,-2.46,SL
2026-03-27 12:35 EDT,2026-03-27 12:40 EDT,SPY,short,638.8100,638.3200,1,0.49,TP
2026-03-30 12:00 EDT,2026-03-30 12:05 EDT,QQQ,short,564.0500,562.9300,1,1.12,TP
2026-03-30 12:40 EDT,2026-03-30 12:55 EDT,SPY,long,635.8500,635.2000,1,-0.65,SL
2026-03-31 12:00 EDT,2026-03-31 12:10 EDT,AAPL,short,248.6100,249.5850,4,-3.90,SL
2026-03-31 12:30 EDT,2026-03-31 12:40 EDT,QQQ,short,568.3400,571.1900,1,-2.85,SL
2026-04-01 11:40 EDT,2026-04-01 11:50 EDT,AAPL,long,254.1300,254.4400,3,0.93,TP
2026-04-01 12:15 EDT,2026-04-01 12:40 EDT,AAPL,short,254.3750,254.7450,3,-1.11,SL
2026-04-02 11:45 EDT,2026-04-02 13:45 EDT,AAPL,short,254.8400,255.0000,3,-0.48,TP
2026-04-06 11:45 EDT,2026-04-06 11:55 EDT,QQQ,long,586.8100,587.5900,1,0.78,TP
2026-04-06 12:00 EDT,2026-04-06 13:05 EDT,AAPL,long,259.5199,258.5600,3,-2.88,SL
2026-04-06 14:10 EDT,2026-04-06 14:20 EDT,QQQ,long,586.3800,587.7700,1,1.39,TP
2026-04-07 14:25 EDT,2026-04-07 14:30 EDT,QQQ,short,584.4800,584.5200,1,-0.04,EOD
2026-04-08 11:45 EDT,2026-04-08 11:55 EDT,AAPL,long,258.1000,257.6200,3,-1.44,SL
2026-04-08 12:20 EDT,2026-04-08 12:35 EDT,SPY,short,674.8200,675.3600,1,-0.54,SL
2026-04-08 14:10 EDT,2026-04-08 14:20 EDT,AAPL,long,257.8700,256.9700,3,-2.70,SL
2026-04-10 13:55 EDT,2026-04-10 14:30 EDT,SPY,long,679.5100,679.3500,1,-0.16,EOD
2026-04-13 12:25 EDT,2026-04-13 12:30 EDT,AAPL,long,257.3990,257.8050,3,1.22,TP
2026-04-13 13:35 EDT,2026-04-13 14:20 EDT,AAPL,short,257.7050,258.0290,3,-0.97,SL
2026-04-13 14:25 EDT,2026-04-13 14:30 EDT,QQQ,short,613.9500,614.1700,1,-0.22,EOD
2026-04-14 13:25 EDT,2026-04-14 13:35 EDT,AAPL,short,259.2000,258.4200,3,2.34,TP
2026-04-15 11:55 EDT,2026-04-15 12:25 EDT,SPY,short,697.2300,697.7600,1,-0.53,SL
2026-04-15 13:40 EDT,2026-04-15 14:15 EDT,QQQ,short,633.3120,634.3300,1,-1.02,SL
2026-04-15 14:30 EDT,2026-04-15 14:30 EDT,AAPL,short,265.1800,265.6000,3,-1.26,EOD
2026-04-16 13:30 EDT,2026-04-16 14:30 EDT,AAPL,short,263.5300,263.8600,3,-0.99,EOD
2026-04-17 12:25 EDT,2026-04-17 13:25 EDT,AAPL,short,271.5150,270.3600,3,3.46,TP
2026-04-17 14:20 EDT,2026-04-17 14:30 EDT,SPY,long,709.6300,710.3000,1,0.67,EOD
2026-04-20 11:55 EDT,2026-04-20 12:35 EDT,AAPL,long,272.4700,273.1100,3,1.92,TP
2026-04-20 13:15 EDT,2026-04-20 13:55 EDT,AAPL,long,272.3200,272.9200,3,1.80,TP
2026-04-21 12:00 EDT,2026-04-21 12:45 EDT,QQQ,long,646.5750,645.3100,1,-1.27,SL
2026-04-22 11:45 EDT,2026-04-22 13:25 EDT,QQQ,short,652.2799,653.9500,1,-1.67,SL
2026-04-22 13:30 EDT,2026-04-22 13:35 EDT,SPY,long,710.0500,710.0900,1,0.04,TP
2026-04-22 13:50 EDT,2026-04-22 14:20 EDT,SPY,short,710.1900,709.6400,1,0.55,TP
2026-04-23 12:25 EDT,2026-04-23 12:45 EDT,AAPL,long,273.4991,273.0600,3,-1.32,SL
2026-04-24 12:55 EDT,2026-04-24 13:10 EDT,AAPL,long,270.5201,269.7850,3,-2.21,SL
2026-04-24 13:30 EDT,2026-04-24 14:30 EDT,QQQ,short,662.6000,663.2400,1,-0.64,EOD
2026-04-27 11:40 EDT,2026-04-27 11:45 EDT,AAPL,long,267.2600,267.6400,3,1.14,TP
2026-04-27 12:25 EDT,2026-04-27 12:35 EDT,QQQ,short,662.5100,662.9700,1,-0.46,SL
2026-04-27 12:55 EDT,2026-04-27 13:15 EDT,SPY,short,714.0200,714.3350,1,-0.32,SL
2026-04-28 11:40 EDT,2026-04-28 12:25 EDT,SPY,long,709.8900,710.4900,1,0.60,TP
2026-04-28 12:30 EDT,2026-04-28 12:55 EDT,QQQ,long,655.2700,655.7400,1,0.47,TP
2026-04-28 13:25 EDT,2026-04-28 13:35 EDT,SPY,long,709.9085,710.4600,1,0.55,TP
2026-04-28 13:40 EDT,2026-04-28 14:20 EDT,AAPL,long,270.0000,270.6300,3,1.89,TP
2026-04-29 12:15 EDT,2026-04-29 12:25 EDT,AAPL,long,268.9900,269.7500,3,2.28,TP
2026-04-29 13:20 EDT,2026-04-29 14:30 EDT,AAPL,short,270.0200,269.8400,3,0.54,EOD
2026-04-30 11:50 EDT,2026-04-30 12:00 EDT,AAPL,short,271.4600,271.9499,3,-1.47,SL
2026-04-30 12:55 EDT,2026-04-30 13:15 EDT,SPY,short,714.3600,715.5500,1,-1.19,SL
